РЕГИОН;ГИБДД;ОКАТО
Республика Адыгея (Адыгея);01;79
Республика Алтай;04;84
Республика Башкортостан;02;80
Республика Бурятия;03;81
Республика Дагестан;05;82
Республика Ингушетия;06;26
Кабардино-Балкарская Республика;07;83
Республика Калмыкия;08;85
Карачаево-Черкесская Республика;09;91
Республика Карелия;10;86
Республика Коми;11;87
Республика Марий Эл;12;88
Республика Мордовия;13;89
Республика Саха (Якутия);14;98
Республика Северная Осетия — Алания;15;90
Республика Татарстан (Татарстан);16;92
Республика Тыва;17;93
Удмуртская Республика;18;94
Республика Хакасия;19;95
Чеченская Республика;20;96
Чувашская Республика —  Чувашия;21;97
Алтайский край;22;01
Забайкальский край;75;76
Камчатский край;41;30
Краснодарский край;23;03
Красноярский край;24;04
Пермский край;59;57
Приморский край;25;05
Ставропольский край;26;07
Хабаровский край;27;08
Амурская область;28;10
Архангельская область;29;11
Астраханская область;30;12
Белгородская область;31;14
Брянская область;32;15
Владимирская область;33;17
Волгоградская область;34;18
Вологодская область;35;19
Воронежская область;36;20
Ивановская область;37;24
Иркутская область;38;25
Калининградская область;39;27
Калужская область;40;29
Кемеровская область;42;32
Кировская область;43;33
Костромская область;44;34
Курганская область;45;37
Курская область;46;38
Ленинградская область;47;41
Липецкая область;48;42
Магаданская область;49;44
Московская область;50;46
Мурманская область;51;47
Нижегородская область;52;22
Новгородская область;53;49
Новосибирская область;54;50
Омская область;55;52
Оренбургская область;56;53
Орловская область;57;54
Пензенская область;58;56
Псковская область;60;58
Ростовская область;61;60
Рязанская область;62;61
Самарская область;63;36
Саратовская область;64;63
Сахалинская область;65;64
Свердловская область;66;65
Смоленская область;67;66
Тамбовская область;68;68
Тверская область;69;28
Томская область;70;69
Тульская область;71;70
Тюменская область;72;71
Ульяновская область;73;73
Челябинская область;74;75
Ярославская область;76;78
Москва;77;45
Санкт-Петербург;78;40
Еврейская автономная область;79;99
Ненецкий автономный округ;83;55
Ханты-Мансийский автономный округ — Югра;86;67
Чукотский автономный округ;87;77
Ямало-Ненецкий автономный округ;89;74
